EWOA,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
298,1.81E-209,2.41E-108,1.10E-201,2.36E-109,0.252484668,0,0.000352729,-12564.47311,0.00E+00,4.44E-16,0,1.20E-03,0.022053919,2.153144758,0.005547031,-1.031591267,0.398056985,6.303408799,-3.75336307,-2.817294052,-9.880050099,-10.08750636,-10.23258306
299,1.15E-210,7.91E-110,2.99E-202,3.26E-110,0.252484463,0,0.000352729,-12564.47311,0.00E+00,4.44E-16,0,1.20E-03,0.022042893,2.153144662,0.005546897,-1.031591631,0.398056975,6.303406607,-3.753558643,-2.817544058,-9.880050118,-10.08763398,-10.23652683
300,1.14E-210,7.90E-110,2.99E-202,3.24E-110,0.252484286,0,0.000352729,-12564.47325,0.00E+00,4.44E-16,0,1.19E-03,0.022025798,2.153144337,0.005546895,-1.031591652,0.398056973,6.303406583,-3.753666573,-2.817960766,-9.880151477,-10.08763399,-10.23652688
301,1.81E-211,5.83E-110,1.75E-202,2.17E-110,0.252484225,0,0.000352729,-12564.47329,0.00E+00,4.44E-16,0,1.19E-03,0.022024871,2.151828557,0.005546763,-1.031591675,0.398056799,6.303207484,-3.753675331,-2.818680633,-9.880170907,-10.0876357,-10.23652693
302,1.93E-212,9.34E-111,2.36E-204,1.34E-111,0.252482969,0,0.000352729,-12564.47329,0.00E+00,4.44E-16,0,1.19E-03,0.022024356,2.151826733,0.005546755,-1.031591678,0.398056762,6.303206682,-3.753678163,-2.820209766,-9.88017143,-10.08767685,-10.25056261
303,1.93E-212,8.10E-111,1.87E-204,1.10E-111,0.252482114,0,0.000352729,-12564.47329,0.00E+00,4.44E-16,0,1.19E-03,0.022023978,2.151093965,0.00554454,-1.031591751,0.398056482,6.303202918,-3.753681774,-2.8202258,-9.880265383,-10.0876986,-10.2532125
304,1.74E-212,2.55E-111,1.77E-205,6.30E-112,0.252452142,0,0.000352729,-12564.47329,0.00E+00,4.44E-16,0,1.18E-03,0.021993907,2.151058128,0.005541182,-1.031592216,0.398056436,6.302514072,-3.753688919,-2.820536924,-9.880265407,-10.08769946,-10.25321605
305,1.15E-212,1.28E-111,3.30E-206,2.44E-112,0.252452057,0,0.000352729,-12564.47329,0.00E+00,4.44E-16,0,1.18E-03,0.021990167,2.150896891,0.005541103,-1.031592233,0.398056378,6.302512908,-3.753689327,-2.820713508,-9.880276357,-10.08769974,-10.25321627
306,7.37E-215,7.86E-112,1.62E-209,6.72E-113,0.252452048,0,0.000352729,-12564.51442,0.00E+00,4.44E-16,0,1.17E-03,0.021931433,2.15089661,0.005541086,-1.031592234,0.398056289,6.302511659,-3.753697454,-2.820852367,-9.880276483,-10.08770056,-10.25321959
307,6.03E-215,1.19E-113,4.79E-210,5.11E-113,0.252280223,0,0.000352729,-12564.51442,0.00E+00,4.44E-16,0,1.17E-03,0.021930024,2.150895847,0.005540998,-1.03159224,0.398056151,6.302511355,-3.753702776,-2.820933759,-9.88028171,-10.08780537,-10.25321983
308,3.29E-215,4.24E-114,3.66E-210,2.08E-113,0.252280048,0,0.000352729,-12564.51442,0.00E+00,4.44E-16,0,1.17E-03,0.021549678,2.150856064,0.005540971,-1.031592345,0.398056038,6.302511081,-3.753706987,-2.821088035,-9.88028343,-10.08785872,-10.25322041
